Fecha;CCAA;cod_ine;CasosAcc;IngresadosAcc;UCIAcc;FallecidosAcc;PCRDia;Ingresados;UCI;PorcenCamas;Ingresos24h;Altas24h;PorcenUCI
2020-08-14;La Rioja;17;4430;1498;91;366
2020-08-17;Andalucía;01;20468;6724;826;1452
2020-08-17;Aragón;02;21847;3758;324;993
2020-08-17;Asturias;03;2861;1127;130;334
2020-08-17;Baleares;04;4448;1240;178;225
2020-08-17;Canarias;05;3690;1036;194;166
2020-08-17;Cantabria;06;3119;1116;86;220
2020-08-17;Castilla La Mancha;08;20214;9508;672;3038
2020-08-17;Castilla y León;07;23132;8997;642;2808
2020-08-17;Cataluña;09;94702;29918;3028;5710
2020-08-17;Ceuta;18;183;17;4;4
2020-08-17;Comunidad Valenciana;10;17492;6196;766;1443
2020-08-17;Extremadura;11;3882;1811;143;523
2020-08-17;Galicia;12;11171;3060;347;625
2020-08-17;Madrid;13;93359;43575;3679;8488
2020-08-17;Melilla;19;204;49;3;2
2020-08-17;Murcia;14;3580;808;125;151
2020-08-17;Navarra;15;8211;2151;147;532
2020-08-17;País Vasco;16;21915;7102;583;1566
2020-08-17;La Rioja;17;4604;1502;91;366
2020-08-18;Andalucía;01;20918;6758;832;1455
2020-08-18;Aragón;02;22269;3775;324;994
2020-08-18;Asturias;03;2880;1128;130;334
2020-08-18;Baleares;04;4686;1245;179;226
2020-08-18;Canarias;05;3781;1051;196;166
2020-08-18;Cantabria;06;3138;1118;86;220
2020-08-18;Castilla La Mancha;08;20397;9508;672;3038
2020-08-18;Castilla y León;07;23720;9043;645;2808
2020-08-18;Cataluña;09;95123;29944;3028;5712
2020-08-18;Ceuta;18;192;17;4;4
2020-08-18;Comunidad Valenciana;10;17881;6243;772;1444
2020-08-18;Extremadura;11;3933;1812;143;523
2020-08-18;Galicia;12;11311;3072;348;625
2020-08-18;Madrid;13;94978;43674;3682;8503
2020-08-18;Melilla;19;204;49;3;2
2020-08-18;Murcia;14;3664;817;126;151
2020-08-18;Navarra;15;8259;2156;148;532
2020-08-18;País Vasco;16;22199;7102;583;1566
2020-08-18;La Rioja;17;4663;1503;91;367
2020-08-19;Andalucía;01;21508;6801;832;1456;4958
2020-08-19;Aragón;02;22901;3912;337;1094;1534
2020-08-19;Asturias;03;2910;1128;130;334;2128
2020-08-19;Baleares;04;4906;1251;179;227;2602
2020-08-19;Canarias;05;3925;1068;201;166;1909
2020-08-19;Cantabria;06;3191;1121;86;220;1364
2020-08-19;Castilla La Mancha;08;20615;9508;671;3038;1439
2020-08-19;Castilla y León;07;24012;9060;647;2808;3187
2020-08-19;Cataluña;09;96139;30001;3031;5718;6792
2020-08-19;Ceuta;18;195;17;4;4;75
2020-08-19;Comunidad Valenciana;10;18172;6264;773;1447;4853
2020-08-19;Extremadura;11;4019;1815;143;523;1035
2020-08-19;Galicia;12;11441;3080;348;625;2197
2020-08-19;Madrid;13;97185;43790;3691;8518;7131
2020-08-19;Melilla;19;204;52;3;2;1
2020-08-19;Murcia;14;3796;841;129;152;1375
2020-08-19;Navarra;15;8344;2162;148;532;1349
2020-08-19;País Vasco;16;22674;7103;583;1566;4691
2020-08-19;La Rioja;17;4730;1504;91;367;693
2020-08-20;Andalucía;01;22107;6825;833;1456;6150;322;40;0.022;88;40
2020-08-20;Aragón;02;23251;3923;338;1096;2693;512;60;0.134;57;46
